Ref,Val,Package,PosX,PosY,Rot,Side
"R913","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.000000,-75.000000,180.000000,top
"R914","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",84.000000,-75.000000,90.000000,top
"R915","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,-70.000000,0.000000,top
"R916","20K","Potentiometer_Bourns_3296W_Vertical_Screw_SS",69.000000,-75.000000,0.000000,top
"R918","75K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.000000,-71.000000,-90.000000,top
"R921","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,-76.000000,0.000000,top
"R927","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,-72.000000,180.000000,top
"R1004","51","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-89.000000,180.000000,top
"R1005","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.000000,-69.000000,0.000000,top
"R1006","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.000000,-69.000000,0.000000,top
"R1007","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.000000,-65.000000,0.000000,top
"R1009","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-55.000000,180.000000,top
"R1010","51","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-59.000000,180.000000,top
"R1201","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",202.500000,-82.500000,-90.000000,top
"R1202","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",194.500000,-73.000000,90.000000,top
"R1203","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.500000,-82.500000,0.000000,top
"R1204","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",209.500000,-73.000000,0.000000,top
"R1205","1.1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-56.500000,-90.000000,top
"R1207","910","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",212.500000,-58.000000,180.000000,top
"R1208","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",230.000000,-67.500000,90.000000,top
"R1210","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,-62.000000,180.000000,top
"R1211","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-66.500000,90.000000,top
"R1212","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",210.500000,-66.500000,-90.000000,top
"R1402","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.000000,-89.000000,-90.000000,top
"R1403","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.000000,-90.000000,180.000000,top
"R1404","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.000000,-85.000000,180.000000,top
"R1405","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.000000,-87.000000,-90.000000,top
"R1406","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.000000,-81.000000,0.000000,top
"R1407","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.000000,-93.000000,180.000000,top
"R1408","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.000000,-90.000000,0.000000,top
"R1409","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-88.000000,0.000000,top
"R1412","1.1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-55.000000,180.000000,top
"R1413","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",183.000000,-67.000000,90.000000,top
"R1414","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.500000,-55.000000,180.000000,top
"R1415","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.000000,-62.000000,-90.000000,top
"R1416","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.000000,-64.000000,0.000000,top
