Ref,Val,Package,PosX,PosY,Rot,Side
"R401","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.500000,-124.500000,0.000000,top
"R402","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",222.500000,-120.000000,0.000000,top
"R403","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.000000,-105.500000,90.000000,top
"R503","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.000000,-112.500000,90.000000,top
"R504","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",211.000000,-112.500000,90.000000,top
"R505","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",207.500000,-112.500000,90.000000,top
"R506","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",231.500000,-115.000000,90.000000,top
"R701","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",76.000000,-124.000000,0.000000,top
"R702","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.000000,-85.000000,180.000000,top
"R801","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",100.000000,-78.000000,270.000000,top
"R802","18","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-94.000000,0.000000,top
"R803","3.9K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-74.000000,0.000000,top
"R804","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.000000,-94.000000,0.000000,top
"R805","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-94.000000,180.000000,top
"R806","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-69.000000,0.000000,top
"R807","750","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-73.000000,270.000000,top
"R808","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-59.000000,180.000000,top
"R809","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-63.500000,90.000000,top
"R810","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.000000,-80.000000,90.000000,top
"R811","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",92.000000,-76.000000,180.000000,top
"R812","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.000000,-81.000000,180.000000,top
"R901","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.500000,-144.000000,180.000000,top
"R904","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.525000,-140.500000,180.000000,top
"R905","82","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.000000,-144.000000,180.000000,top
"R907","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.000000,-130.000000,180.000000,top
"R908","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.000000,-137.000000,90.000000,top
"R909","390","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.000000,-139.000000,0.000000,top
"R910","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.000000,-139.000000,90.000000,top
"R911","39K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.500000,-133.000000,180.000000,top
"R912","390","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",127.500000,-138.000000,0.000000,top
"R913","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.000000,-139.000000,180.000000,top
"R914","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.000000,-105.000000,0.000000,top
"R915","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.000000,-131.000000,0.000000,top
"R916","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.000000,-131.000000,90.000000,top
"R917","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.000000,-109.000000,180.000000,top
"R1103","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.500000,-106.000000,90.000000,top
"R1104","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.000000,-109.000000,0.000000,top
"R1105","2.2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-126.000000,0.000000,top
